Count,Geometry,Phase,Orientation,Angle,r/D,L/D,H/D,Froude_No,Fluid_Reynolds,Archimedes_No,Stokes_No,Particle_Reynolds,Diameter_Ratio,Density_Ratio,Hardness,Volume_Fraction,Particle_Sharpness,Erosion_Ratio(mm/kg),-20%,+20%,Reference
1,Elbow,Gas-solid,H-V,90,1.5,336,0,314.475353959912,767503.333333334,16345.3123116537,10812.2357101196,8309.58333333333,0.0108267716535433,0.000462264150943396,4.96795642259578,0.000253293796176386,1,0.232,0.1856,0.2784,Bourgoyne (1989)
2,Elbow,Gas-solid,H-V,90,1.5,336,0,290.393907935955,708730.555555556,16345.3123116537,9984.2717142996,7673.26388888889,0.0108267716535433,0.000462264150943396,5.82607410663201,0.000346450216942004,1,0.209,0.1672,0.2508,Bourgoyne (1989)
3,Elbow,Gas-solid,H-V,90,1.5,336,0,287.560796639019,701816.111111111,16345.3123116537,9886.86418537961,7598.40277777778,0.0108267716535433,0.000462264150943396,5.94143911114587,0.000272136299797688,1,0.262,0.2096,0.3144,Bourgoyne (1989)
4,Elbow,Gas-solid,H-V,90,1.5,336,0,252.146905427317,615385.555555556,16345.3123116537,8669.27007387965,6662.63888888889,0.0108267716535433,0.000462264150943396,7.72758377512973,0.000302035504452386,1,0.226,0.1808,0.2712,Bourgoyne (1989)
5,Elbow,Gas-solid,H-V,90,1.5,336,0,250.730349778849,611928.333333333,16345.3123116537,8620.56630941965,6625.20833333333,0.0108267716535433,0.000462264150943396,7.81514776504868,0.000306527165610258,1,0.238,0.1904,0.2856,Bourgoyne (1989)
6,Elbow,Gas-solid,H-V,90,1.5,336,0,250.730349778849,611928.333333333,16345.3123116537,8620.56630941965,6625.20833333333,0.0108267716535433,0.000462264150943396,7.81514776504868,0.00036781004997789,1,0.253,0.2024,0.3036,Bourgoyne (1989)
7,Elbow,Gas-solid,H-V,90,1.5,336,0,239.397904591104,584270.555555556,16345.3123116537,8230.93619373967,6325.76388888889,0.0108267716535433,0.000462264150943396,8.57255573443543,0.000275516943439321,1,0.191,0.1528,0.2292,Bourgoyne (1989)
8,Elbow,Gas-solid,H-V,90,1.5,336,0,236.564793294168,577356.111111111,16345.3123116537,8133.52866481968,6250.90277777778,0.0108267716535433,0.000462264150943396,8.77911593571696,0.000228026059076583,1,0.183,0.1464,0.2196,Bourgoyne (1989)
9,Elbow,Gas-solid,H-V,90,1.5,336,0,157.237676979956,383751.666666667,16345.3123116537,5406.11785505978,4154.79166666667,0.0108267716535433,0.000462264150943396,19.8718256903831,0.000644091995245587,1,0.0581,0.04648,0.06972,Bourgoyne (1989)
10,Elbow,Gas-solid,H-V,90,1.5,336,0,154.40456568302,376837.222222222,16345.3123116537,5308.71032613979,4079.93055555556,0.0108267716535433,0.000462264150943396,20.6077572873672,6.74393188258282E-05,1,0.0611,0.04888,0.07332,Bourgoyne (1989)
11,Elbow,Gas-solid,H-V,90,1.5,336,0,152.988010034552,373380,16345.3123116537,5260.00656167979,4042.5,0.0108267716535433,0.000462264150943396,20.9911492053507,0.00016580344508113,1,0.0712,0.05696,0.08544,Bourgoyne (1989)
12,Elbow,Gas-solid,H-V,90,1.5,336,0,152.988010034552,373380,16345.3123116537,5260.00656167979,4042.5,0.0108267716535433,0.000462264150943396,20.9911492053507,0.000358030053118911,1,0.0551,0.04408,0.06612,Bourgoyne (1989)
13,Elbow,Gas-solid,H-V,90,1.5,336,0,152.988010034552,373380,16345.3123116537,5260.00656167979,4042.5,0.0108267716535433,0.000462264150943396,20.9911492053507,0.00029502804987777,1,0.0807,0.06456,0.09684,Bourgoyne (1989)
14,Elbow,Gas-solid,H-V,90,1.5,336,0,152.988010034552,373380,16345.3123116537,5260.00656167979,4042.5,0.0108267716535433,0.000462264150943396,20.9911492053507,8.63342750602044E-05,1,0.066,0.0528,0.0792,Bourgoyne (1989)
15,Elbow,Gas-solid,H-V,90,1.5,336,0,151.571454386084,369922.777777778,16345.3123116537,5211.30279721979,4005.06944444444,0.0108267716535433,0.000462264150943396,21.3853405826893,0.000562230633493652,1,0.0482,0.03856,0.05784,Bourgoyne (1989)
16,Elbow,Gas-solid,H-V,90,1.5,336,0,151.571454386084,369922.777777778,16345.3123116537,5211.30279721979,4005.06944444444,0.0108267716535433,0.000462264150943396,21.3853405826893,0.00104561169619503,1,0.0593,0.04744,0.07116,Bourgoyne (1989)
17,Elbow,Gas-solid,H-V,90,1.5,336,0,150.154898737616,366465.555555556,16345.3123116537,5162.59903275979,3967.63888888889,0.0108267716535433,0.000462264150943396,21.7907408625143,0.00111584326219619,1,0.0513,0.04104,0.06156,Bourgoyne (1989)
18,Elbow,Gas-solid,H-V,90,1.5,336,0,147.32178744068,359551.111111111,16345.3123116537,5065.1915038398,3892.77777777778,0.0108267716535433,0.000462264150943396,22.6369049862435,0.000274130982925955,1,0.0646,0.05168,0.07752,Bourgoyne (1989)
19,Elbow,Gas-solid,H-V,90,1.5,336,0,145.905231792212,356093.888888889,16345.3123116537,5016.4877393798,3855.34722222222,0.0108267716535433,0.000462264150943396,23.078590284778,0.000254768918107201,1,0.0376,0.03008,0.04512,Bourgoyne (1989)
20,Elbow,Gas-solid,H-V,90,1.5,336,0,145.905231792212,356093.888888889,16345.3123116537,5016.4877393798,3855.34722222222,0.0108267716535433,0.000462264150943396,23.078590284778,0.00134898873741434,1,0.0397,0.03176,0.04764,Bourgoyne (1989)
21,Elbow,Gas-solid,H-V,90,1.5,336,0,138.822453549871,338807.777777778,16345.3123116537,4772.96891707981,3668.19444444444,0.0108267716535433,0.000462264150943396,25.4936239411922,0.000227507771575305,1,0.0354,0.02832,0.04248,Bourgoyne (1989)
